,Unnamed: 0,PlaylistID,PlaylistName,Category,SubCategory,AvgDuration
197,894,5132,Umbalena | Những Chuyến Phiêu Lưu,Thiếu nhi,Thiếu nhi,39.3
198,493,4616,Sứ mệnh yêu thương,Sách nói,Tâm linh,39.26923076923077
199,566,4709,Bạn đang nghịch gì với đời mình?,Sách nói,Hạnh phúc,39.26666666666666
200,516,4654,Sử Ta - Chuyện Xưa Kể Lại Tập 3,Sách nói,Lịch sử,39.14166666666667
201,816,5032,Sức Mạnh Của Lòng Kiên Nhẫn,Sách nói,Kỹ năng,39.04
202,877,5112,Sức Mạnh Của Trí Tuệ Xã Hội,Sách nói,Kỹ năng,39.0
203,496,4619,Thái độ quyết định thành công,Sách nói,Thành công,38.87416666666665
204,641,4809,Tại sao phải chần chừ?,Sách nói,Kỹ năng,38.7375
205,957,5222,Những Cảm Xúc Bị Dồn Nén,Sách nói,Tâm lý,38.5
206,482,4604,Yêu Đi Đừng Sợ,Sách nói,Hạnh phúc,38.21538461538461
207,759,4958,Tony Buzan - Cải Thiện Năng Lực Trí Não 1 ,Sách nói,Kỹ năng,37.98333333333333
208,562,4705,Câu chuyện ly kỳ từ cậu bé giao báo,Sách nói,Kinh doanh,37.95714285714286
209,680,4856,18 Quy luật bất biến phát triển danh tiếng thương hiệu,Sách nói,Kinh doanh,37.925
210,729,4922,Một Nửa Yêu Thương,Truyện nói,Ngôn tình,37.9
211,491,4614,Tây Sơn Ký: Những câu chuyện về thời đại của Hoàng đế Quang Trung,Podcast,Văn hoá,37.8
212,871,5104,Chú Đại Bi Giảng Giải,Podcast,Pháp thoại,37.75
213,915,5162,Chuyển Đổi Số,Sách nói,Kinh doanh,37.46
214,39,3895,Hôn Nhân - Chuyện Thêm Và Bớt,Sách nói,Lứa đôi,37.43333333333334
215,916,5163,Bí Quyết Hạnh Phúc Trong Công Việc,Sách nói,Hạnh phúc,37.4
216,618,4779,Tư Duy Đột Phá,Sách nói,Lãnh đạo,37.35714285714285
217,530,4669,Đánh Thức Năng Lực Vô Hạn,Sách nói,Thành công,37.24705882352944
218,609,4770,Quẳng Gánh Lo Đi & Vui Sống,Sách nói,Hạnh phúc,37.23999999999999
219,358,4448,Truyện Ngắn Vũ Trọng Phụng 2 - Cái Ghen Đàn Ông,Truyện nói,Kinh điển Việt Nam,37.16666666666666
220,238,4304,Nửa Chừng Xuân,Truyện nói,Kinh điển Việt Nam,37.0
221,834,5053,Bí mật tình yêu 1,Sách nói,Lứa đôi,36.86666666666667
222,703,4883,Chó Dẫn Đường - Đại Gia Và Nhân Quả,Truyện nói,Văn học Quốc tế Hiện đại,36.83333333333334
223,40,3896,Đàm Phán Bậc Thầy - Cả Hai Cùng Thắng,Sách nói,Kỹ năng,36.78571428571428
224,135,4170,Bí kíp để giàu có,Sách nói,Kinh doanh,36.5
225,554,4697,Mật Mã Sự Sống,Sách nói,Tâm linh,36.41428571428573
226,837,5056,Thiền - Suối Nguồn Tâm Linh,Podcast,Pháp thoại,36.23333333333333
227,565,4708,Chìa khóa tư duy tích cực,Sách nói,Kỹ năng,36.23
228,660,4833,Bước ra thế giới,Sách nói,Kỹ năng,36.15000000000001
229,577,4720,Khổng tử tâm đắc,Sách nói,Danh nhân,36.08750000000001
230,62,3921,"Nói Ít Lại, Làm Nhiều Hơn",Sách nói,Kỹ năng,35.99722222222222
231,92,4056,[Sách Tóm Tắt] Người Chọn Nghề Hay Nghề Chọn Người,Sách tóm tắt,Sách tóm tắt,35.9
232,932,5189,Sherlock Holmes 3 - Thung Lũng Khủng Khiếp,Truyện nói,Trinh thám,35.8
233,560,4703,Mẹ Teresa - Trên cả tình yêu,Sách nói,Danh nhân,35.72
234,890,5128,Để Thành Công Trong Chứng Khoán,Sách nói,Kinh doanh,35.71666666666667
235,775,4981,Gatsby Vĩ Đại,Truyện nói,Kinh điển Quốc tế,35.7
236,824,5040,Hẹn Bạn Trên Đỉnh Thành Công,Sách nói,Kinh doanh,35.6
237,683,4860,Bí ẩn nam giới,Sách nói,Lứa đôi,35.54
238,243,4309,Làm Chủ Cửa Hàng Bán Lẻ,Sách nói,Kinh doanh,35.45
239,556,4699,Bí Quyết Học Nhanh Nhớ Lâu,Sách nói,Kỹ năng,35.35555555555555
240,610,4771,Đi tìm lẽ sống,Sách nói,Hạnh phúc,35.3
241,462,4580,Thế Giới Chúng Ta Những Ngày Đại Dịch,Podcast,Kiến thức,35.2
242,60,3919,Những Bài Học Đáng Giá Về Hạnh Phúc,Sách nói,Hạnh phúc,35.1
243,918,5166,Không Gì Là Không Thể,Sách nói,Thành công,35.06666666666667
244,93,4059,[Sách Tóm Tắt] Những nguyên Tắc Thành Công,Sách tóm tắt,Sách tóm tắt,35.025
245,35,3891,Lãnh Đạo Bằng Câu Hỏi,Sách nói,Lãnh đạo,34.99999999999999
246,953,5214,Kim Bình Mai 1,Truyện nói,Kinh điển Quốc tế,34.85
247,929,5184,Trải Nghiệm Và Khát Vọng Cuộc Sống,Sách nói,Hạnh phúc,34.7
248,715,4904,Hồi Ức Về Những Cô Gái Điếm Buồn Của Tôi,Truyện nói,Văn học Quốc tế Hiện đại,34.7
249,149,4185,Hỷ Lạc Từ Tâm,Sách nói,Tâm linh,34.47
250,591,4737,Trải Nghiệm Sức Mạnh Hiện Tại,Sách nói,Tâm linh,34.42777777777778
251,397,4500,Vòng Xoáy Tội Ác,Truyện nói,Trinh thám,34.35555555555555
252,590,4736,Hạnh phúc đến từ sự biến mất,Sách nói,Tâm linh,34.12173913043478
253,907,5154,Cùng Bé Khám Phá Tác Phẩm Kinh Điển - Thủy Hử,Thiếu nhi,Thiếu nhi,34.0
254,225,4284,Nghề Làm Cha Mẹ,Sách nói,Con cái,34.0
255,940,5199,Dạy Con Tư Duy,Sách nói,Con cái,33.95
256,351,4440,Lều Chõng,Truyện nói,Kinh điển Việt Nam,33.95
257,323,4409,Ba Người Bạn,Thiếu nhi,Thiếu nhi,33.925
258,627,4788,Tinh Hoa Quản Trị Dự Án,Sách nói,Kinh doanh,33.81
259,202,4253,Khởi Nghiệp Bình Thường,Podcast,Kiến thức,33.8
260,394,4496,Yêu Lầm Anh,Truyện nói,Ngôn tình,33.5
261,545,4687,Trở Thành Người Ảnh Hưởng,Sách nói,Thành công,33.34166666666667
262,601,4753,Số Đỏ,Truyện nói,Kinh điển Việt Nam,33.3
263,952,5213,Hội Chợ Phù Hoa 3,Truyện nói,Kinh điển Quốc tế,33.2
264,623,4784,Tử tế đáng giá bao nhiêu,Sách nói,Hạnh phúc,33.18
265,431,4543,Cổ Học Tinh Hoa,Sách nói,Lịch sử,33.16363636363636
266,688,4866,Ông già và biển cả,Thiếu nhi,Thiếu nhi,33.075
267,175,4214,Tuổi 50 Hy Vọng,Sách nói,Thành công,33.03000000000001
268,657,4828,Tự Do Đầu Tiên và Cuối Cùng,Sách nói,Kỹ năng,32.95384615384615
269,430,4542,Creative Director,Podcast,Kiến thức,32.9
270,774,4980,Ba Người Lính Ngự Lâm,Truyện nói,Kinh điển Quốc tế,32.9
271,665,4840,Những Vùng Đất Chắp Cánh Ước Mơ (by Hoa Học Trò),Podcast,Kiến thức,32.85
272,234,4296,Tốt Như Vàng,Sách nói,Kinh doanh,32.7
273,398,4502,Happy Lady Networking,Podcast,Kiến thức,32.6
274,37,3893,Bí Quyết Trở Thành Người Xuất Sắc,Sách nói,Thành công,32.5
275,612,4773,Buông Bỏ Buồn Buông,Sách nói,Tâm linh,32.39090909090908
276,781,4987,Nhà Thờ Đức Bà Paris,Truyện nói,Kinh điển Quốc tế,32.175
277,28,3884,Nghệ Thuật Tối Giản,Sách nói,Hạnh phúc,32.04
278,575,4718,Binh Pháp Tôn Tử Trong Kinh Doanh,Sách nói,Kinh doanh,31.94166666666667
279,648,4818,Thiết Kế Một Cuộc Đời Đáng Sống,Sách nói,Thành công,31.63636363636364
280,49,3906,Giỏi Giao Tiếp Dễ Thành Công,Sách nói,Kỹ năng,31.50882352941177
281,941,5201,Hạt Giống Tâm Hồn 13,Sách nói,Hạnh phúc,31.4
